,animal,sire,dam
176,b1b2,b1m,b1f
177,b1b1,b1m,b1f
180,143b,143m,143f
200,149b,149m,149f
276,208b,O127,139b
282,214b,139b2,211b
81,t2bb,t2bm,t2bf
88,t1bb,t1bm,t1bf
92,153f,152m,152f
127,152b,152m,152f
130,151b,151m,151f
131,151b2,151m,151f
267,156b,150b4,c1b2
269,201b,O125,147b
270,202b,b1b1,O147
271,203b,O149,150b1
272,204b,143b,O130
273,205b,c1b,O123
274,206b,O150,c3b
275,207b,O128,b2b
280,212b,b1b2,O148
281,213b,O129,150b2
287,12,O125,147b
288,8,O129,150b2
289,10,O125,147b
291,1,b1b2,O148
292,61k,c1b,O123
293,212ak,b1b2,O148
295,25,O128,b2b
296,24,O128,b2b
297,19k,O150,c3b
298,22,O128,b2b
301,6,O129,150b2
302,31,O125,147b
303,3,c1b,O123
304,4,c1b,O123
305,37k,O129,150b2
306,62,b1b1,O147
307,41k,O149,150b1
308,43k,O150,c3b
309,7,O129,150b2
311,5,c1b,O123
312,36,O129,150b2
313,25k,O128,b2b
315,32,O125,147b
318,64,O128,b2b
321,24k,O128,b2b
322,9,O125,147b
324,44,O150,c3b
325,23,b1b1,O147
326,11,O125,147b
327,40,O149,150b1
328,212bk,b1b2,O148
329,47k,O150,c3b
331,34,O129,150b2
333,67k,O128,b2b
334,46,O150,c3b
335,66,O128,b2b
336,45k,O150,c3b
337,59k,c1b,O123
339,35k,O129,150b2
340,60,c1b,O123
344,38,O149,150b1
345,65,O128,b2b
348,30,O125,147b
349,39k,O149,150b1
350,71,O129,150b2
351,76,O125,147b
352,75,O125,147b
353,82,O149,150b1
354,70,O129,150b2
355,94,O150,c3b
356,72,O129,150b2
357,79,O125,147b
358,104,O128,b2b
360,84,O149,150b1
362,77,O125,147b
364,78,O125,147b
365,83,O149,150b1
94,153b,153m,153f
186,155b,t1bb,148b
266,154b,147b2,151b
277,209b,O122,151b
283,216b,205b,150b3
284,215b,212b,c3b2
285,217b,b1b3,213b
286,15,O122,151b
294,16,O122,151b
299,54,O122,151b
314,14,O122,151b
316,53k,O122,151b
323,13,O122,151b
330,48,O122,151b
332,51k,O122,151b
341,50,O122,151b
342,52,O122,151b
346,49k,O122,151b
361,89,O122,151b
278,210b,153b,O131
290,2,153b,O131
319,68,153b,O131
359,105,153b,O131
