Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father Id,Mother Id
4,45,1941,,N/A,female,unsp,Colony,,
,47,2407,,N/A,female,unsp,Colony,,
,69,1991,,N/A,female,unsp,Colony,,
,7862,,,129,male,,,7464,7470
,7896,,,104,female,,,6308,6317
,6308,,EPL,77,male,unsp,unspecified,1524,1341
,6317,,,95,female,unsp,unspecified,3382,3301
,1524,,,20,male,unsp,unspecified,67,69
1,3382,,,76,male,unsp,unspecified,1525,1349
1,1341,,EPL,8,female,unsp,unspecified,21,19
2,3301,,EPL,48,female,unsp,unspecified,1361,837
2,21,1112,,N/A,male,unsp,Colony,,
2,67,2451,,N/A,male,unsp,Colony,,
2,1361,,,14,male,unsp,unspecified,43,45
3,1525,,,20,male,unsp,unspecified,67,69
3,19,1063,,N/A,female,unsp,Colony,,
3,69,1991,,N/A,female,unsp,Colony,,
3,837,EPR,,15,female,unsp,unspecified,49,47
3,1349,,,13,female,unsp,unspecified,41,39
3,41,2437,,N/A,male,unsp,Colony,,
3,43,1850,,N/A,male,unsp,Colony,,
3,49,1838,,N/A,male,unsp,Colony,,
4,67,2451,,N/A,male,unsp,Colony,,
4,39,2406,,N/A,female,unsp,Colony,,
4,45,1941,,N/A,female,unsp,Colony,,
4,47,2407,,N/A,female,unsp,Colony,,
4,69,1991,,N/A,female,unsp,Colony,,
4,b3b,,,b3b,male,,,b3m,b3f
4,b3f,,,136,female,,,136m,7896
4,b3m,,,138,male,,,7862,7896
4,b2m,,,130,male,,,7692,7621
4,b2b,,,b2,female,,,b2m,b2f
4,7692,,,115,male,,,6256,6318
4,7621,,,120,female,,,6653,6613
4,6653,,,104,male,unsp,unspecified,6308,6317
4,6613,,EPL,111,female,unsp,unspecified,6237,6312
4,6237,,EPL,71,male,unsp,unspecified,1431,1407
4,6308,,EPL,77,male,unsp,unspecified,1524,1341
5,6312,,,97,female,unsp,unspecified,3419,3253
5,6317,,,95,female,unsp,unspecified,3382,3301
5,1431,,EPL,26,male,unsp,unspecified,179,169
5,1524,,,20,male,unsp,unspecified,67,69
5,3382,,,76,male,unsp,unspecified,1525,1349
5,3419,,EPL,82,male,unsp,unspecified,1427,1408
5,1341,,EPL,8,female,unsp,unspecified,21,19
5,1407,,,16,female,unsp,unspecified,51,53
5,3253,,,63,female,unsp,unspecified,1415,1368
5,3301,,EPL,48,female,unsp,unspecified,1361,837
5,21,1112,,N/A,male,unsp,Colony,,
5,51,1974,,N/A,male,unsp,Colony,,
5,67,2451,,N/A,male,unsp,Colony,,
5,179,4301,,N/A,male,unsp,Colony,,
5,1361,,,14,male,unsp,unspecified,43,45
5,1415,,,23,male,unsp,unspecified,173,163
1,1427,,,18,male,unsp,unspecified,59,61
1,1525,,,20,male,unsp,unspecified,67,69
2,19,1063,,N/A,female,unsp,Colony,,
2,53,2318,,N/A,female,unsp,Colony,,
2,69,1991,,N/A,female,unsp,Colony,,
2,169,4232,,N/A,female,unsp,Colony,,
3,837,EPR,,15,female,unsp,unspecified,49,47
3,1349,,,13,female,unsp,unspecified,41,39
3,1368,,,25,female,unsp,unspecified,177,167
3,1408,,,16,female,unsp,unspecified,51,53
3,41,2437,,N/A,male,unsp,Colony,,
3,43,1850,,N/A,male,unsp,Colony,,
3,49,1838,,N/A,male,unsp,Colony,,
3,51,1974,,N/A,male,unsp,Colony,,
4,59,2410,,N/A,male,unsp,Colony,,
4,67,2451,,N/A,male,unsp,Colony,,
4,173,4246,,N/A,male,unsp,Colony,,
4,177,4241,,N/A,male,unsp,Colony,,
4,39,2406,,N/A,female,unsp,Colony,,
4,45,1941,,N/A,female,unsp,Colony,,
4,47,2407,,N/A,female,unsp,Colony,,
4,53,2318,,N/A,female,unsp,Colony,,
,61,2404,,N/A,female,unsp,Colony,,
,69,1991,,N/A,female,unsp,Colony,,
,163,4233,,N/A,female,unsp,Colony,,
,167,4216,,N/A,female,unsp,Colony,,
,6256,,,77,male,unsp,unspecified,1524,1341
,6318,,,95,female,unsp,unspecified,3382,3301
,1524,,,20,male,unsp,unspecified,67,69
,3382,,,76,male,unsp,unspecified,1525,1349
,1341,,EPL,8,female,unsp,unspecified,21,19
,3301,,EPL,48,female,unsp,unspecified,1361,837
1,21,1112,,N/A,male,unsp,Colony,,
1,67,2451,,N/A,male,unsp,Colony,,
2,1361,,,14,male,unsp,unspecified,43,45
2,1525,,,20,male,unsp,unspecified,67,69
2,19,1063,,N/A,female,unsp,Colony,,
2,69,1991,,N/A,female,unsp,Colony,,
3,837,EPR,,15,female,unsp,unspecified,49,47
3,1349,,,13,female,unsp,unspecified,41,39
3,41,2437,,N/A,male,unsp,Colony,,
3,43,1850,,N/A,male,unsp,Colony,,
3,49,1838,,N/A,male,unsp,Colony,,
3,67,2451,,N/A,male,unsp,Colony,,
4,39,2406,,N/A,female,unsp,Colony,,
4,45,1941,,N/A,female,unsp,Colony,,
4,47,2407,,N/A,female,unsp,Colony,,
4,69,1991,,N/A,female,unsp,Colony,,
4,b2f,,,139,female,,,8332,8285
4,b1b,,,b1,male,,,b1m,b1f
4,b1f,,,141,female,,,8531,8491
4,b1m,,,139,male,,,8332,8285
4,143b,,,143,female,,,143m,143f
4,148b,,,148,female,,,148m,148f
5,148f,,,137,female,,,7859,7695
5,148m,,,131,male,,,7684,7631
5,7684,,,,male,,,6619,6626
5,7631,,,,female,,,6609,6605
5,6609,,,115,male,unsp,unspecified,6256,6318
5,6605,,,113,female,unsp,unspecified,6252,6319
5,6252,,EPL,76,male,unsp,unspecified,1525,1349
5,6256,,,77,male,unsp,unspecified,1524,1341
1,6318,,,95,female,unsp,unspecified,3382,3301
1,6319,,,95,female,unsp,unspecified,3382,3301
2,1524,,,20,male,unsp,unspecified,67,69
2,1525,,,20,male,unsp,unspecified,67,69
2,3382,,,76,male,unsp,unspecified,1525,1349
2,1341,,EPL,8,female,unsp,unspecified,21,19
3,1349,,,13,female,unsp,unspecified,41,39
3,3301,,EPL,48,female,unsp,unspecified,1361,837
3,21,1112,,N/A,male,unsp,Colony,,
3,41,2437,,N/A,male,unsp,Colony,,
3,67,2451,,N/A,male,unsp,Colony,,
3,1361,,,14,male,unsp,unspecified,43,45
3,1525,,,20,male,unsp,unspecified,67,69
3,19,1063,,N/A,female,unsp,Colony,,
4,39,2406,,N/A,female,unsp,Colony,,
4,69,1991,,N/A,female,unsp,Colony,,
4,837,EPR,,15,female,unsp,unspecified,49,47
4,1349,,,13,female,unsp,unspecified,41,39
4,41,2437,,N/A,male,unsp,Colony,,
4,43,1850,,N/A,male,unsp,Colony,,
4,49,1838,,N/A,male,unsp,Colony,,
4,67,2451,,N/A,male,unsp,Colony,,
4,39,2406,,N/A,female,unsp,Colony,,
4,45,1941,,N/A,female,unsp,Colony,,
4,47,2407,,N/A,female,unsp,Colony,,
4,69,1991,,N/A,female,unsp,Colony,,
4,6619,,,117,male,unsp,unspecified,6244,6293
4,6626,,EPL,100,female,unsp,unspecified,3415,3316
,3415,,EPL,71,male,unsp,unspecified,1431,1407
,6244,,,49,male,unsp,unspecified,1373,832
,3316,,,75,female,unsp,unspecified,1497,1161
,6293,,,63,female,unsp,unspecified,1415,1368
,1373,,EPR,25,male,unsp,unspecified,177,167
,1415,,,23,male,unsp,unspecified,173,163
,1431,,EPL,26,male,unsp,unspecified,179,169
,1497,,,10,male,unsp,unspecified,27,29
1,832,,EPL,24,female,unsp,unspecified,175,165
1,1161,,,20,female,unsp,unspecified,67,69
2,1368,,,25,female,unsp,unspecified,177,167
2,1407,,,16,female,unsp,unspecified,51,53
2,27,1793,,N/A,male,unsp,Colony,,
2,51,1974,,N/A,male,unsp,Colony,,
3,67,2451,,N/A,male,unsp,Colony,,
3,173,4246,,N/A,male,unsp,Colony,,
3,175,4238,,N/A,male,unsp,Colony,,
3,177,4241,,N/A,male,unsp,Colony,,
3,179,4301,,N/A,male,unsp,Colony,,
3,29,1994,,N/A,female,unsp,Colony,,
3,53,2318,,N/A,female,unsp,Colony,,
3,69,1991,,N/A,female,unsp,Colony,,
4,163,4233,,N/A,female,unsp,Colony,,
4,165,3971,,N/A,female,unsp,Colony,,
4,167,4216,,N/A,female,unsp,Colony,,
4,169,4232,,N/A,female,unsp,Colony,,
4,139b,,,139,female,,,8332,8285
4,149b,,,149,male,,,149m,149f
4,149m,,,136,male,,,136m,7896
4,149f,,,139,female,,,8332,8285
1,143m,,,139,male,,,8332,8285
1,143f,,,141,female,,,8531,8491
2,8491,,,112,female,,,6255,6304
2,8531,,,137,male,,,7859,7695
2,6255,,,77,male,unsp,unspecified,1524,1341
2,6304,,,96,female,unsp,unspecified,3067,3325
3,1524,,,20,male,unsp,unspecified,67,69
3,3067,,,84,male,unsp,unspecified,1547,1308
3,1341,,EPL,8,female,unsp,unspecified,21,19
3,3325,,EPL,64,female,unsp,unspecified,1404,1363
3,21,1112,,N/A,male,unsp,Colony,,
3,67,2451,,N/A,male,unsp,Colony,,
3,1404,,EPL,16,male,unsp,unspecified,51,53
3,1547,,,23,male,unsp,unspecified,173,163
4,19,1063,,N/A,female,unsp,Colony,,
4,69,1991,,N/A,female,unsp,Colony,,
4,1308,,,18,female,unsp,unspecified,59,61
4,1363,,EPL,14,female,unsp,unspecified,43,45
4,43,1850,,N/A,male,unsp,Colony,,
4,51,1974,,N/A,male,unsp,Colony,,
4,59,2410,,N/A,male,unsp,Colony,,
4,173,4246,,N/A,male,unsp,Colony,,
4,45,1941,,N/A,female,unsp,Colony,,
4,53,2318,,N/A,female,unsp,Colony,,
4,61,2404,,N/A,female,unsp,Colony,,
4,163,4233,,N/A,female,unsp,Colony,,
5,7859,,,111,male,unsp,unspecified,6237,6312
5,7695,,,124,female,unsp,unspecified,6590,6595
5,6237,,EPL,71,male,unsp,unspecified,1431,1407
5,6590,,EPL,103,male,unsp,unspecified,6294,6350
5,6312,,,97,female,unsp,unspecified,3419,3253
5,6595,,,99,female,unsp,unspecified,3405,3254
5,1431,,EPL,26,male,unsp,unspecified,179,169
5,3405,,,81,male,unsp,unspecified,1399,1419
5,3419,,EPL,82,male,unsp,unspecified,1427,1408
5,6294,,,63,male,unsp,unspecified,1415,1368
5,1407,,,16,female,unsp,unspecified,51,53
5,3253,,,63,female,unsp,unspecified,1415,1368
5,3254,,,63,female,unsp,unspecified,1415,1368
5,6350,,,99,female,unsp,unspecified,3405,3254
5,51,1974,,N/A,male,unsp,Colony,,
5,179,4301,,N/A,male,unsp,Colony,,
6,1399,,EPL,15,male,unsp,unspecified,49,47
6,1415,,,23,male,unsp,unspecified,173,163
6,1427,,,18,male,unsp,unspecified,59,61
6,3405,,,81,male,unsp,unspecified,1399,1419
6,53,2318,,N/A,female,unsp,Colony,,
6,169,4232,,N/A,female,unsp,Colony,,
6,1368,,,25,female,unsp,unspecified,177,167
6,1408,,,16,female,unsp,unspecified,51,53
,1419,,,12,female,unsp,unspecified,35,37
1,3254,,,63,female,unsp,unspecified,1415,1368
1,35,1786,,N/A,male,unsp,Colony,,
2,49,1838,,N/A,male,unsp,Colony,,
2,51,1974,,N/A,male,unsp,Colony,,
2,59,2410,,N/A,male,unsp,Colony,,
2,173,4246,,N/A,male,unsp,Colony,,
3,177,4241,,N/A,male,unsp,Colony,,
3,1399,,EPL,15,male,unsp,unspecified,49,47
3,1415,,,23,male,unsp,unspecified,173,163
3,37,2315,,N/A,female,unsp,Colony,,
3,47,2407,,N/A,female,unsp,Colony,,
3,53,2318,,N/A,female,unsp,Colony,,
3,61,2404,,N/A,female,unsp,Colony,,
3,163,4233,,N/A,female,unsp,Colony,,
4,167,4216,,N/A,female,unsp,Colony,,
4,1368,,,25,female,unsp,unspecified,177,167
4,1419,,,12,female,unsp,unspecified,35,37
4,35,1786,,N/A,male,unsp,Colony,,
4,49,1838,,N/A,male,unsp,Colony,,
4,173,4246,,N/A,male,unsp,Colony,,
4,177,4241,,N/A,male,unsp,Colony,,
4,37,2315,,N/A,female,unsp,Colony,,
4,47,2407,,N/A,female,unsp,Colony,,
4,163,4233,,N/A,female,unsp,Colony,,
4,167,4216,,N/A,female,unsp,Colony,,
4,8332,,,135,male,,,7858,7888
4,7858,,EPL,115,male,unsp,unspecified,6256,6318
4,7888,,EPL,128,female,unsp,unspecified,7500,7471
4,6256,,,77,male,unsp,unspecified,1524,1341
4,7500,,,104,male,unsp,unspecified,6308,6317
5,6318,,,95,female,unsp,unspecified,3382,3301
5,7471,,,100,female,unsp,unspecified,3415,3316
5,1524,,,20,male,unsp,unspecified,67,69
5,3382,,,76,male,unsp,unspecified,1525,1349
5,3415,,EPL,71,male,unsp,unspecified,1431,1407
5,6308,,EPL,77,male,unsp,unspecified,1524,1341
5,1341,,EPL,8,female,unsp,unspecified,21,19
5,3301,,EPL,48,female,unsp,unspecified,1361,837
5,3316,,,75,female,unsp,unspecified,1497,1161
5,6317,,,95,female,unsp,unspecified,3382,3301
5,21,1112,,N/A,male,unsp,Colony,,
5,67,2451,,N/A,male,unsp,Colony,,
5,1361,,,14,male,unsp,unspecified,43,45
5,1431,,EPL,26,male,unsp,unspecified,179,169
5,1497,,,10,male,unsp,unspecified,27,29
5,1524,,,20,male,unsp,unspecified,67,69
5,1525,,,20,male,unsp,unspecified,67,69
5,3382,,,76,male,unsp,unspecified,1525,1349
