,Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex
56,NA,9m,,,2,male,,,2344,2179,,1
57,NA,10nf,,,,female,,,10m,10f,,2
58,NA,10nm,,,9,male,,,9m,9f,,1
59,1,1848,,EPL,26,male,unsp,unspecified,179,169,,1
60,1,1899,,,N/A,female,unsp,Colony,,,,2
63,NA,2345,,,55,male,,,1848,1899,,1
64,NA,2391,,,49,female,,,1373,832,,2
71,1,849,,EPL,18,male,unsp,unspecified,59,61,,1
72,1,1567,,,13,female,unsp,unspecified,41,39,,2
77,NA,2702,,,51,male,,,849,1567,,1
78,NA,2726,,,71,female,,,1431,1407,,2
79,1,1823,,,16,male,unsp,unspecified,51,53,,1
80,1,812,,,21,female,unsp,unspecified,171,161,,2
82,2,171,4239,,N/A,male,unsp,Colony,,,pedigree,1
84,2,161,3970,,N/A,female,unsp,Colony,,,,2
85,1,1373,,EPR,25,male,unsp,unspecified,177,167,,1
86,1,832,,EPL,24,female,unsp,unspecified,175,165,,2
87,2,175,4238,,N/A,male,unsp,Colony,,,,1
88,2,177,4241,,N/A,male,unsp,Colony,,,,1
89,2,165,3971,,N/A,female,unsp,Colony,,,,2
90,2,167,4216,,N/A,female,unsp,Colony,,,,2
91,NA,2390,,,49,female,,,1373,832,,2
92,NA,2376,,,53,male,,,1823,812,,1
93,NA,1524,,,20,male,,,67,69,,1
94,NA,1341,,,8,female,,,21,19,,2
95,1,21,1112,,N/A,male,unsp,Colony,,,,1
96,1,19,1063,,N/A,female,unsp,Colony,,,,2
99,NA,t2bb,,,t1b,female,,,t2bm,t2bf,,2
100,NA,t2bm,,,t1a,male,,,t1am,t1af,,1
101,NA,t2bf,,,t2a,female,,,t2am,t2af,,2
102,NA,t1am,,,139,male,,,8332,8285,,1
103,NA,t1af,,,141,female,,,8531,8491,,2
104,NA,t2am,,,139,male,,,8332,8285,,1
105,NA,t2af,,,130,female,,,7692,7621,,2
106,NA,t1bb,,,t1b,female,,,t1bm,t1bf,,2
107,NA,t1bm,,,t1a,male,,,t1am,t1af,,1
108,NA,t1bf,,,t2a,female,,,t2am,t2af,,2
109,NA,b3b2,,,b3,male,,,b3m,b3f,,1
110,NA,153f,,,152,female,,,152m,152f,,2
111,NA,153m,,,150,male,,,150m,150f,,1
112,NA,153b,,,153,male,,,153m,153f,,1
113,NA,150b,,,150,male,,,150m,150f,,1
114,NA,150f,,,b3,female,,,b3m,b3f,,2
115,NA,150m,,,h2,male,,,h2m,h2f,,1
116,NA,147b,,,,female,,,147m,147f,,2
117,NA,17m,,,77,male,,,1524,1341,,1
118,NA,17f,,,,female,,,2376,2390,,2
119,NA,13m,,,8,male,,,2702,2726,,1
120,NA,13f,,,3,female,,,2345,2391,,2
121,NA,24m,,,13,male,,,13m,13f,,1
122,NA,24f,,,18,female,,,18m,18f,,2
123,NA,27m,,,11,male,,,11m,11f,,1
124,NA,27f,,,17,female,,,17m,17f,,2
125,NA,20nm,,,10n,male,,,10nm,10nf,,1
126,NA,20nf,,,27,female,,,27m,27f,,2
127,NA,30m,,,17,male,,,17m,17f,,1
128,NA,30f,,,13,female,,,13m,13f,,2
129,NA,16nm,,,24f,male,,,24m,24f,,1
130,NA,16nf,,,27,female,,,27m,27f,,2
131,NA,31f,,,20,female,,,20m,20f,,2
132,NA,31m,,,3,male,,,2345,2391,,1
133,NA,16nnm,,,20n,male,,,20nm,20nf,,1
134,NA,16nnf,,,30,female,,,30m,30f,,2
135,NA,21nf,,,16n,female,,,16nm,16nf,,2
136,NA,21nm,,,31,male,,,31m,31f,,1
137,NA,h2f,,,16nn,female,,,16nnm,16nnf,,2
138,NA,h2m,,,21n,male,,,21nm,21nf,,1
139,NA,147m,,,h2,male,,,h2m,h2f,,1
140,NA,147f,,,139,female,,,8332,8285,,2
141,NA,152b,,,152,female,,,152m,152f,,2
142,NA,152f,,,149,female,,,149m,149f,,2
143,NA,152m,,,b3,male,,,b3m,b3f,,1
144,NA,151b,,,151,male,,,151m,151f,,1
145,NA,151m,,,b1,male,,,b1m,b1f,,1
146,NA,151f,,,136,female,,,136m,7896,,2
147,1,7464,,,121,male,unsp,unspecified,6616,6624,,1
148,1,7470,,,100,female,unsp,unspecified,3415,3316,,2
150,2,6616,,,116,male,unsp,unspecified,6243,6317,,1
152,2,6624,,,100,female,unsp,unspecified,3415,3316,,2
155,3,6243,,,49,male,unsp,unspecified,1373,832,,1
158,3,6317,,,95,female,unsp,unspecified,3382,3301,,2
164,4,3382,,,76,male,unsp,unspecified,1525,1349,,1
170,4,3301,,EPL,48,female,unsp,unspecified,1361,837,,2
173,5,1361,,,14,male,unsp,unspecified,43,45,,1
174,5,1525,,,20,male,unsp,unspecified,67,69,,1
177,5,837,EPR,,15,female,unsp,unspecified,49,47,,2
178,5,1349,,,13,female,unsp,unspecified,41,39,,2
180,6,43,1850,,N/A,male,unsp,Colony,,,,1
181,6,49,1838,,N/A,male,unsp,Colony,,,,1
183,6,45,1941,,N/A,female,unsp,Colony,,,,2
184,6,47,2407,,N/A,female,unsp,Colony,,,,2
185,NA,7862,,,129,male,,,7464,7470,,1
186,NA,7896,,,104,female,,,6308,6317,,2
187,1,6308,,EPL,77,male,unsp,unspecified,1524,1341,,1
192,NA,b3b,,,b3b,male,,,b3m,b3f,,1
193,NA,b3f,,,136,female,,,136m,7896,,2
194,NA,b3m,,,138,male,,,7862,7896,,1
195,NA,b2m,,,130,male,,,7692,7621,,1
196,NA,b2b,,,b2,female,,,b2m,b2f,,2
197,NA,7692,,,115,male,,,6256,6318,,1
198,NA,7621,,,120,female,,,6653,6613,,2
199,1,6653,,,104,male,unsp,unspecified,6308,6317,,1
200,1,6613,,EPL,111,female,unsp,unspecified,6237,6312,,2
201,2,6237,,EPL,71,male,unsp,unspecified,1431,1407,,1
202,2,6312,,,97,female,unsp,unspecified,3419,3253,,2
203,3,3419,,EPL,82,male,unsp,unspecified,1427,1408,,1
204,3,3253,,,63,female,unsp,unspecified,1415,1368,,2
205,4,1415,,,23,male,unsp,unspecified,173,163,,1
206,4,1427,,,18,male,unsp,unspecified,59,61,,1
207,4,1368,,,25,female,unsp,unspecified,177,167,,2
208,4,1408,,,16,female,unsp,unspecified,51,53,,2
210,5,173,4246,,N/A,male,unsp,Colony,,,,1
212,5,163,4233,,N/A,female,unsp,Colony,,,,2
213,1,6256,,,77,male,unsp,unspecified,1524,1341,,1
214,1,6318,,,95,female,unsp,unspecified,3382,3301,,2
215,NA,b2f,,,139,female,,,8332,8285,,2
216,NA,b1b,,,b1,male,,,b1m,b1f,,1
217,NA,b1f,,,141,female,,,8531,8491,,2
218,NA,b1m,,,139,male,,,8332,8285,,1
219,NA,143b,,,143,female,,,143m,143f,,2
220,NA,148b,,,148,female,,,148m,148f,,2
221,NA,148f,,,137,female,,,7859,7695,,2
222,NA,148m,,,131,male,,,7684,7631,,1
223,NA,7684,,,,male,,,6619,6626,,1
224,NA,7631,,,,female,,,6609,6605,,2
225,1,6609,,,115,male,unsp,unspecified,6256,6318,,1
226,1,6605,,,113,female,unsp,unspecified,6252,6319,,2
227,2,6252,,EPL,76,male,unsp,unspecified,1525,1349,,1
228,2,6319,,,95,female,unsp,unspecified,3382,3301,,2
229,1,6619,,,117,male,unsp,unspecified,6244,6293,,1
230,1,6626,,EPL,100,female,unsp,unspecified,3415,3316,,2
231,2,6244,,,49,male,unsp,unspecified,1373,832,,1
232,2,6293,,,63,female,unsp,unspecified,1415,1368,,2
233,NA,139b,,,139,female,,,8332,8285,,2
234,NA,149b,,,149,male,,,149m,149f,,1
235,NA,149m,,,136,male,,,136m,7896,,1
236,NA,149f,,,139,female,,,8332,8285,,2
237,NA,143m,,,139,male,,,8332,8285,,1
238,NA,143f,,,141,female,,,8531,8491,,2
239,NA,8491,,,112,female,,,6255,6304,,2
240,NA,8531,,,137,male,,,7859,7695,,1
241,1,6255,,,77,male,unsp,unspecified,1524,1341,,1
242,1,6304,,,96,female,unsp,unspecified,3067,3325,,2
243,2,3067,,,84,male,unsp,unspecified,1547,1308,,1
244,2,3325,,EPL,64,female,unsp,unspecified,1404,1363,,2
245,3,1404,,EPL,16,male,unsp,unspecified,51,53,,1
246,3,1547,,,23,male,unsp,unspecified,173,163,,1
247,3,1308,,,18,female,unsp,unspecified,59,61,,2
248,3,1363,,EPL,14,female,unsp,unspecified,43,45,,2
249,1,7859,,,111,male,unsp,unspecified,6237,6312,,1
250,1,7695,,,124,female,unsp,unspecified,6590,6595,,2
251,2,6590,,EPL,103,male,unsp,unspecified,6294,6350,,1
252,2,6595,,,99,female,unsp,unspecified,3405,3254,,2
253,3,3405,,,81,male,unsp,unspecified,1399,1419,,1
254,3,6294,,,63,male,unsp,unspecified,1415,1368,,1
255,3,3254,,,63,female,unsp,unspecified,1415,1368,,2
256,3,6350,,,99,female,unsp,unspecified,3405,3254,,2
257,4,1399,,EPL,15,male,unsp,unspecified,49,47,,1
258,4,1419,,,12,female,unsp,unspecified,35,37,,2
259,5,35,1786,,N/A,male,unsp,Colony,,,,1
260,5,37,2315,,N/A,female,unsp,Colony,,,,2
261,NA,8332,,,135,male,,,7858,7888,,1
262,1,7858,,EPL,115,male,unsp,unspecified,6256,6318,,1
263,1,7888,,EPL,128,female,unsp,unspecified,7500,7471,,2
264,2,7500,,,104,male,unsp,unspecified,6308,6317,,1
265,2,7471,,,100,female,unsp,unspecified,3415,3316,,2
266,NA,8285,,,136,female,,,136m,7896,,2
267,NA,136m,dad,,129,male,,,7464,7470,,1
