,Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex
,,gb1,,,,male,,,150b,148b,,1
,,gb2,,,,,,,b1b,c1b,,2
,,gb3,,,,,,,c3b,143b,,1
,,gb4,,,,,,,150b,147b,,2
1,NA,c1b,,,,female,,,c1m,c1f,,2
2,NA,c3b,,,,male,,,c3m,c3f,,1
3,NA,c3m,,,,male,,,h3m,h3f,,1
4,NA,c3f,,,,female,,,c5m,c5f,,2
5,NA,h3m,,,23n,male,,,23nm,23nf,,1
6,NA,h3f,,,14n,female,,,14nm,14nf,,2
7,NA,c5m,,,138,male,,,7862,7896,,1
8,NA,c5f,,,135,female,,,7858,7888,,2
9,NA,c1m,,,,male,,,h3m,h3f,,1
10,NA,c1f,,,,female,,,c5m,c5f,,2
11,NA,32m,,,11,male,,,11m,11f,,1
12,NA,32f,,,9,female,,,9m,9f,,2
13,NA,23nm,,,,male,,,32m,32f,,1
14,NA,23nf,,,,female,,,20nm,20nf,,2
15,NA,18m,,,77,male,,,1524,1341,,1
16,NA,18f,,,6,female,,,2427,2251,,2
17,NA,14nf,,,18,female,,,18m,18f,,2
18,NA,14nm,,,17,male,,,17m,17f,,1
19,NA,2427,,,49,male,,,1373,832,,1
20,NA,2251,,,55,female,,,1848,1899,,2
23,1,1431,,EPL,26,male,unsp,unspecified,179,169,,1
24,1,1407,,,16,female,unsp,unspecified,51,53,,2
25,2,51,1974,,N/A,male,unsp,Colony,,,,1
26,2,179,4301,,N/A,male,unsp,Colony,,,,1
27,2,53,2318,,N/A,female,unsp,Colony,,,,2
28,2,169,4232,,N/A,female,unsp,Colony,,,,2
29,1,1497,,,10,male,unsp,unspecified,27,29,,1
30,1,1161,,,20,female,unsp,unspecified,67,69,*kb14,2
31,2,27,1793,,N/A,male,unsp,Colony,,,,1
32,2,67,2451,,N/A,male,unsp,Colony,,,*we entered parents as BP4,1
33,2,29,1994,,N/A,female,unsp,Colony,,,*we entered parents as BP8,2
34,2,69,1991,,N/A,female,unsp,Colony,,,,2
35,NA,3316,,,,female,,,1497,1161,,2
36,NA,3415,,,,male,,,1431,1407,,1
37,NA,59,,,,male,,,,,,1
38,NA,61,,,,female,,,,,,2
39,NA,1307,,,18,female,,,59,61,,2
40,NA,1417,,,12,male,,,35,37,,1
41,NA,20m,,,85,male,,,1417,1307,,1
42,NA,20f,,,kb14,female,,,3415,3316,,2
43,NA,11m,,,76,male,,,1525,1349,,1
44,NA,11f,,,,female,,,2376,2390,,2
45,NA,10m,,,8,male,,,2702,2726,,1
46,NA,10f,,,71,female,,,1431,1407,,2
47,NA,41,,,,male,,,,,,1
48,NA,39,,,,female,,,,,,2
51,NA,1523,,,20,male,,,67,69,,1
52,NA,1350,,,13,female,,,41,39,,2
53,NA,2344,,,55,male,,,1848,1899,,1
54,NA,2179,,,21(mosaic#),female,,,171,161,,2
55,NA,9f,,,78,female,,,1523,1350,,2
