Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,
NA,151b,,,151,male,,,151m,151f,
NA,151m,,,b1,male,,,b1m,b1f,
NA,151f,,,136,female,,,136m,7896,
1,7464,,,121,male,unsp,unspecified,6616,6624,
1,7470,,,100,female,unsp,unspecified,3415,3316,
2,3415,,EPL,71,male,unsp,unspecified,1431,1407,
2,6616,,,116,male,unsp,unspecified,6243,6317,
2,3316,,,75,female,unsp,unspecified,1497,1161,
2,6624,,,100,female,unsp,unspecified,3415,3316,
3,1431,,EPL,26,male,unsp,unspecified,179,169,
3,1497,,,10,male,unsp,unspecified,27,29,
3,6243,,,49,male,unsp,unspecified,1373,832,
3,1161,,,20,female,unsp,unspecified,67,69,
3,1407,,,16,female,unsp,unspecified,51,53,
3,6317,,,95,female,unsp,unspecified,3382,3301,
4,27,1793,,N/A,male,unsp,Colony,,,
4,51,1974,,N/A,male,unsp,Colony,,,
4,67,2451,,N/A,male,unsp,Colony,,,
4,179,4301,,N/A,male,unsp,Colony,,,
4,1373,,EPR,25,male,unsp,unspecified,177,167,
4,3382,,,76,male,unsp,unspecified,1525,1349,
4,29,1994,,N/A,female,unsp,Colony,,,
4,53,2318,,N/A,female,unsp,Colony,,,
4,69,1991,,N/A,female,unsp,Colony,,,
4,169,4232,,N/A,female,unsp,Colony,,,
4,832,,EPL,24,female,unsp,unspecified,175,165,
4,3301,,EPL,48,female,unsp,unspecified,1361,837,
5,175,4238,,N/A,male,unsp,Colony,,,
5,177,4241,,N/A,male,unsp,Colony,,,
5,1361,,,14,male,unsp,unspecified,43,45,
5,1525,,,20,male,unsp,unspecified,67,69,
5,165,3971,,N/A,female,unsp,Colony,,,
5,167,4216,,N/A,female,unsp,Colony,,,
5,837,EPR,,15,female,unsp,unspecified,49,47,
5,1349,,,13,female,unsp,unspecified,41,39,
6,41,2437,,N/A,male,unsp,Colony,,,
6,43,1850,,N/A,male,unsp,Colony,,,
6,49,1838,,N/A,male,unsp,Colony,,,
6,39,2406,,N/A,female,unsp,Colony,,,
6,45,1941,,N/A,female,unsp,Colony,,,
6,47,2407,,N/A,female,unsp,Colony,,,
NA,7862,,,129,male,,,7464,7470,
NA,7896,,,104,female,,,6308,6317,
1,6308,,EPL,77,male,unsp,unspecified,1524,1341,
2,1524,,,20,male,unsp,unspecified,67,69,
2,1341,,EPL,8,female,unsp,unspecified,21,19,
3,21,1112,,N/A,male,unsp,Colony,,,
3,19,1063,,N/A,female,unsp,Colony,,,
NA,b3b,,,b3b,male,,,b3m,b3f,
NA,b3f,,,136,female,,,136m,7896,
NA,b3m,,,138,male,,,7862,7896,
NA,b2m,,,130,male,,,7692,7621,
NA,b2b,,,b2,female,,,b2m,b2f,
NA,7692,,,115,male,,,6256,6318,
NA,7621,,,120,female,,,6653,6613,
1,6653,,,104,male,unsp,unspecified,6308,6317,
1,6613,,EPL,111,female,unsp,unspecified,6237,6312,
2,6237,,EPL,71,male,unsp,unspecified,1431,1407,
2,6312,,,97,female,unsp,unspecified,3419,3253,
3,3419,,EPL,82,male,unsp,unspecified,1427,1408,
3,3253,,,63,female,unsp,unspecified,1415,1368,
4,1415,,,23,male,unsp,unspecified,173,163,
4,1427,,,18,male,unsp,unspecified,59,61,
4,1368,,,25,female,unsp,unspecified,177,167,
4,1408,,,16,female,unsp,unspecified,51,53,
5,59,2410,,N/A,male,unsp,Colony,,,
5,173,4246,,N/A,male,unsp,Colony,,,
5,61,2404,,N/A,female,unsp,Colony,,,
5,163,4233,,N/A,female,unsp,Colony,,,
1,6256,,,77,male,unsp,unspecified,1524,1341,
1,6318,,,95,female,unsp,unspecified,3382,3301,
NA,b2f,,,139,female,,,8332,8285,
NA,b1b,,,b1,male,,,b1m,b1f,
NA,b1f,,,141,female,,,8531,8491,
NA,b1m,,,139,male,,,8332,8285,
NA,143b,,,143,female,,,143m,143f,
NA,148b,,,148,female,,,148m,148f,
NA,148f,,,137,female,,,7859,7695,
NA,148m,,,131,male,,,7684,7631,
NA,7684,,,,male,,,6619,6626,
NA,7631,,,,female,,,6609,6605,
1,6609,,,115,male,unsp,unspecified,6256,6318,
1,6605,,,113,female,unsp,unspecified,6252,6319,
2,6252,,EPL,76,male,unsp,unspecified,1525,1349,
2,6319,,,95,female,unsp,unspecified,3382,3301,
1,6619,,,117,male,unsp,unspecified,6244,6293,
1,6626,,EPL,100,female,unsp,unspecified,3415,3316,
2,6244,,,49,male,unsp,unspecified,1373,832,
2,6293,,,63,female,unsp,unspecified,1415,1368,
NA,139b,,,139,female,,,8332,8285,
