,Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex
118,NA,h2f,,,16nn,female,,,16nnm,16nnf,,2
119,NA,h2m,,,21n,male,,,21nm,21nf,,1
120,NA,147m,,,h2,male,,,h2m,h2f,,1
121,NA,147f,,,139,female,,,8332,8285,,2
122,NA,152b,,,152,female,,,152m,152f,,2
123,NA,152f,,,149,female,,,149m,149f,,2
124,NA,152m,,,b3,male,,,b3m,b3f,,1
125,NA,151b,,,151,female,,,151m,151f,,1
126,NA,151m,,,b1,male,,,b1m,b1f,,1
127,NA,151f,,,136,female,,,136m,7896,,2
128,1,7464,,,121,male,unsp,unspecified,6616,6624,,1
129,1,7470,,,100,female,unsp,unspecified,3415,3316,,2
130,2,6616,,,116,male,unsp,unspecified,6243,6317,,1
131,2,6624,,,100,female,unsp,unspecified,3415,3316,,2
132,3,6243,,,49,male,unsp,unspecified,1373,832,,1
133,3,6317,,,95,female,unsp,unspecified,3382,3301,,2
134,4,3382,,,76,male,unsp,unspecified,1525,1349,,1
135,4,3301,,EPL,48,female,unsp,unspecified,1361,837,,2
136,5,1361,,,14,male,unsp,unspecified,43,45,,1
137,5,1525,,,20,male,unsp,unspecified,67,69,,1
138,5,837,EPR,,15,female,unsp,unspecified,49,47,,2
139,5,1349,,,13,female,unsp,unspecified,41,39,,2
140,6,43,1850,,N/A,male,unsp,Colony,,,,1
141,6,49,1838,,N/A,male,unsp,Colony,,,,1
142,6,45,1941,,N/A,female,unsp,Colony,,,,2
143,6,47,2407,,N/A,female,unsp,Colony,,,,2
144,NA,7862,,,129,male,,,7464,7470,,1
145,NA,7896,,,104,female,,,6308,6317,,2
146,1,6308,,EPL,77,male,unsp,unspecified,1524,1341,,1
147,NA,b3b,,,b3b,male,,,b3m,b3f,,1
148,NA,b3f,,,136,female,,,136m,7896,,2
149,NA,b3m,,,138,male,,,7862,7896,,1
150,NA,b2m,,,130,male,,,7692,7621,,1
151,NA,b2b,,,b2,female,,,b2m,b2f,,2
152,NA,7692,,,115,male,,,6256,6318,,1
153,NA,7621,,,120,female,,,6653,6613,,2
154,1,6653,,,104,male,unsp,unspecified,6308,6317,,1
155,1,6613,,EPL,111,female,unsp,unspecified,6237,6312,,2
156,2,6237,,EPL,71,male,unsp,unspecified,1431,1407,,1
157,2,6312,,,97,female,unsp,unspecified,3419,3253,,2
158,3,3419,,EPL,82,male,unsp,unspecified,1427,1408,,1
159,3,3253,,,63,female,unsp,unspecified,1415,1368,,2
