,Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex
1,NA,c1b,,,,male,,0,c1m,c1f,,2
2,NA,c3b,,,,female,,0,c3m,c3f,,1
3,NA,c3m,,,,male,,0,h3m,h3f,,1
4,NA,c3f,,,,female,,0,c5m,c5f,,2
5,NA,h3m,,,23n,male,,0,23nm,23nf,,1
6,NA,h3f,,,14n,female,,0,14nm,14nf,,2
7,NA,c5m,,,138,male,,0,7862,7896,,1
8,NA,c5f,,,135,female,,0,7858,7888,,2
9,NA,c1m,,,,male,,0,h3m,h3f,,1
10,NA,c1f,,,,female,,0,c5m,c5f,,2
11,NA,32m,,,11,male,,0,11m,11f,,1
12,NA,32f,,,9,female,,0,9m,9f,,2
13,NA,23nm,,,,male,,0,32m,32f,,1
14,NA,23nf,,,,female,,0,20nm,20nf,,2
15,NA,18m,,,77,male,,0,1524,1341,,1
16,NA,18f,,,6,female,,0,2427,2251,,2
17,NA,14nf,,,18,female,,0,18m,18f,,2
18,NA,14nm,,,17,male,,0,17m,17f,,1
19,NA,2427,,,49,male,,0,1373,832,,1
20,NA,2251,,,55,female,,0,1848,1899,,2
21,1,1431,,EPL,26,male,unsp,0,179,169,,1
22,1,1407,,,16,female,unsp,0,51,53,,2
23,2,51,1974,,N/A,male,unsp,0,,,,1
24,2,179,4301,,N/A,male,unsp,0,,,,1
25,2,53,2318,,N/A,female,unsp,0,,,,2
26,2,169,4232,,N/A,female,unsp,0,,,,2
27,1,1497,,,10,male,unsp,0,27,29,,1
28,1,1161,,,20,female,unsp,0,67,69,*kb14,2
29,2,27,1793,,N/A,male,unsp,0,,,,1
30,2,67,2451,,N/A,male,unsp,0,,,*we entered parents as BP4,1
31,2,29,1994,,N/A,female,unsp,0,,,*we entered parents as BP8,2
32,2,69,1991,,N/A,female,unsp,0,,,,2
33,NA,3316,,,,female,,0,1497,1161,,2
34,NA,3415,,,,male,,0,1431,1407,,1
35,NA,59,,,,male,,0,,,,1
36,NA,61,,,,female,,0,,,,2
37,NA,1307,,,18,female,,0,59,61,,2
38,NA,1417,,,12,male,,0,35,37,,1
39,NA,20m,,,85,male,,0,1417,1307,,1
40,NA,20f,,,kb14,female,,0,3415,3316,,2
41,NA,11m,,,76,male,,0,1525,1349,,1
42,NA,11f,,,,female,,0,2376,2390,,2
43,NA,10m,,,8,male,,0,2702,2726,,1
44,NA,10f,,,71,female,,0,1431,1407,,2
45,NA,41,,,,male,,0,,,,1
46,NA,39,,,,female,,0,,,,2
47,NA,1523,,,20,male,,0,67,69,,1
